date,forecast
2025-08-22,199.42403312360798
2025-08-23,192.1464145293085
2025-08-24,205.78622592058858
2025-08-25,209.67141206313713
2025-08-26,220.83403157261475
2025-08-27,213.81347848691385
2025-08-28,207.88054070598582
2025-08-29,204.68688466677762
2025-08-30,201.59940678111164
2025-08-31,206.55761856160322
2025-09-01,209.12770653007155
2025-09-02,213.80368122396257
2025-09-03,211.79552897168773
2025-09-04,209.03314328940556
2025-09-05,207.31292207786126
2025-09-06,205.9468626200261
2025-09-07,207.75029799270888
2025-09-08,209.16929086123488
2025-09-09,211.2186607147062
2025-09-10,210.7652287425859
2025-09-11,209.57859516642898
2025-09-12,208.71318890402628
2025-09-13,208.10022307833722
2025-09-14,208.76490205124546
2025-09-15,209.4973977132733
2025-09-16,210.4381114107919
2025-09-17,210.42817304247038
2025-09-18,209.96498490205786
2025-09-19,209.56542769117127
2025-09-20,209.30124935784536
